Date,Open,High,Low,Close,Adj Close,Volume
10/14/2019,105.809998,106.660004,105.599998,106.019997,106.019997,3337700
10/15/2019,106.849998,107.099998,105.919998,106.889999,106.889999,2694700
10/16/2019,106.019997,106.709999,105.019997,106.550003,106.550003,2345600
10/17/2019,106.529999,107.110001,105.910004,106.190002,106.190002,1999900
10/18/2019,107.160004,107.230003,104.589996,105.669998,105.669998,4536700
10/21/2019,106.730003,106.830002,103.209999,104.440002,104.440002,2655700
10/22/2019,104.25,104.660004,100.029999,100.790001,100.790001,4292900
10/23/2019,100.489998,101.559998,100.290001,101.099998,101.099998,3532100
10/24/2019,101.709999,103.580002,101.279999,103.449997,103.449997,2627300
10/25/2019,102.739998,103.43,101.769997,102.510002,102.510002,2602200
10/28/2019,103.029999,103.379997,102.010002,102.459999,102.459999,1612600
10/29/2019,102.389999,106.860001,102.120003,105.349998,105.349998,3882000
10/30/2019,105.269997,106.529999,104.370003,106.300003,106.300003,2204200
10/31/2019,106.410004,107.440002,105.669998,106.139999,106.139999,3296800
11/1/2019,106.800003,107.029999,105.709999,106.849998,106.849998,2006300
11/4/2019,107.57,107.589996,105.129997,105.290001,105.290001,2165500
11/5/2019,105.300003,105.82,102.839996,104,104,3028000
11/6/2019,103.900002,105.040001,103.440002,104.910004,104.910004,2911900
11/7/2019,108,111.459999,106.610001,109.650002,109.650002,8463600
11/8/2019,109.010002,110.660004,108.800003,110.610001,110.610001,4201100
11/11/2019,110.470001,111.260002,108.68,110.25,110.25,3503300
11/12/2019,110.580002,111.32,109.919998,110.650002,110.650002,2448900
11/13/2019,110.389999,111.75,110.339996,111.330002,111.330002,3382300
11/14/2019,112.32,114.290001,110.809998,114.099998,114.099998,3653600
11/15/2019,114.879997,115,112.199997,113.910004,113.910004,3246500
11/18/2019,114.32,115,113.720001,114.5,114.5,2221700
11/19/2019,114.900002,116.239998,114.230003,116.040001,116.040001,2181200
11/20/2019,115.610001,116.760002,114.82,115.349998,115.349998,2354100
11/21/2019,115.779999,116.199997,113.839996,114.080002,114.080002,2608100
11/22/2019,114.040001,114.389999,112.629997,113.919998,113.919998,2486700
11/25/2019,114.029999,115.099998,114.029999,114.739998,114.739998,2463600
11/26/2019,114.739998,116.949997,114.510002,116.220001,116.220001,8239200
11/27/2019,116.169998,116.349998,114.540001,116.32,116.32,2030400
11/29/2019,116.120003,117.040001,115.860001,116.239998,116.239998,1193300
12/2/2019,116.139999,116.370003,112.970001,114.279999,114.279999,2681500
12/3/2019,114.589996,114.970001,113.349998,114.419998,114.419998,2962600
12/4/2019,114.580002,115.25,114.230003,114.790001,114.790001,2114100
12/5/2019,115.110001,115.540001,114.099998,114.790001,114.790001,2037100
12/6/2019,115.550003,115.889999,114.290001,114.489998,114.489998,2264900
12/9/2019,114.389999,115.489998,114.150002,114.75,114.75,3281300
12/10/2019,114.099998,114.980003,113.519997,113.839996,113.839996,1743700
12/11/2019,113.900002,114.730003,112.599998,114.610001,114.610001,2808700
12/12/2019,114.32,115.459999,113.910004,115.18,115.18,1934800
12/13/2019,114.830002,116.889999,113.599998,116.75,116.75,2346200
12/16/2019,117.099998,118,115.580002,116.510002,116.510002,2271700
12/17/2019,116.949997,117.150002,115.660004,116.779999,116.779999,2434700
12/18/2019,116.620003,117.150002,115.760002,115.889999,115.889999,2120200
12/19/2019,116.139999,116.699997,115.75,116.5,116.5,2574100
12/20/2019,117.080002,117.199997,115.889999,116.669998,116.669998,5097300
12/23/2019,116.589996,117.010002,115.830002,116.330002,116.330002,1451400
12/24/2019,116.040001,116.629997,115.629997,116.629997,116.629997,532100
12/26/2019,116.5,116.779999,115.540001,116.029999,116.029999,1888900
12/27/2019,116.309998,117.220001,115.290001,117.080002,117.080002,1563700
12/30/2019,116.610001,116.709999,115.129997,115.470001,115.470001,1656000
12/31/2019,115.370003,115.760002,114.650002,115.629997,115.629997,2370900
1/2/2020,116,116.339996,115.019997,115.519997,115.519997,5197700
1/3/2020,115.029999,116.730003,114.5,116.370003,116.370003,2834000
1/6/2020,115.18,116.970001,114.860001,116.93,116.93,2114800
1/7/2020,115.949997,117.330002,115.190002,116.480003,116.480003,2397800
1/8/2020,116.559998,117.690002,116.559998,116.800003,116.800003,3323100
1/9/2020,117.540001,118.010002,117.120003,117.800003,117.800003,3434200
1/10/2020,118.480003,118.699997,116.949997,117.129997,117.129997,2077200
1/13/2020,117,118.610001,116.860001,118.529999,118.529999,3094300
1/14/2020,118.309998,118.529999,117.279999,117.550003,117.550003,2662600
1/15/2020,117.93,119.309998,117.709999,118.510002,118.510002,2015100
1/16/2020,119.5,120.269997,118.93,120.209999,120.209999,2011100
1/17/2020,120.790001,120.860001,119.769997,120.68,120.68,4086600
1/21/2020,120.599998,121.610001,120.339996,120.610001,120.610001,2426700
1/22/2020,121.300003,122.519997,121.279999,122.040001,122.040001,2922900
1/23/2020,122.050003,122.510002,121.040001,122.230003,122.230003,2105300
1/24/2020,122.580002,122.93,120.529999,120.839996,120.839996,1736200
1/27/2020,118.699997,120.370003,118.220001,119.300003,119.300003,1651200
1/28/2020,119.300003,121.139999,119.059998,120.43,120.43,3917500
1/29/2020,120.849998,121.050003,119.690002,120.040001,120.040001,2088000
1/30/2020,119,121.339996,118.269997,121.230003,121.230003,2094300
1/31/2020,120.589996,120.82,118.110001,118.610001,118.610001,3428500
2/3/2020,119.959999,122.080002,119.510002,121.940002,121.940002,2986000
2/4/2020,123.620003,125.050003,123,123.889999,123.889999,4570700
2/5/2020,122.639999,124.239998,119.669998,121.669998,121.669998,5650300
2/6/2020,120.75,122,120.419998,121.669998,121.669998,3494300
2/7/2020,120.699997,122.129997,120.290001,121.860001,121.860001,2374000
2/10/2020,121.419998,123.550003,121.169998,123.209999,123.209999,2742900
2/11/2020,123.809998,124.610001,120.540001,120.709999,120.709999,3231200
2/12/2020,120.480003,121.07,119.010002,119.139999,119.139999,4050300
2/13/2020,118.849998,122.339996,118.709999,121.059998,121.059998,3207600
2/14/2020,121.120003,122.360001,120.699997,122.32,122.32,2796500
2/18/2020,122.949997,123.720001,121.669998,122.25,122.25,2899500
2/19/2020,122.650002,123.779999,122.400002,123.550003,123.550003,3636700
2/20/2020,123.300003,123.480003,120.25,121.839996,121.839996,3285100
2/21/2020,121.519997,121.790001,118.639999,119.489998,119.489998,3563700
2/24/2020,116.580002,118.879997,116.040001,116.589996,116.589996,3706400
2/25/2020,116.790001,117.279999,113.050003,113.25,113.25,4117500
2/26/2020,113.800003,115.260002,112.07,112.870003,112.870003,3917900
2/27/2020,110.790001,112.739998,108.160004,108.540001,108.540001,6824500
2/28/2020,105.120003,109.510002,104.580002,109.360001,109.360001,7131800
3/2/2020,108.639999,114.290001,107.18,114.230003,114.230003,5516400
3/3/2020,113,114.949997,108.389999,109.370003,109.370003,5171100
3/4/2020,111,112.910004,109.379997,112.18,112.18,5787500
3/5/2020,109.150002,111.529999,107.639999,109.25,109.25,4642100
3/6/2020,103.980003,107.379997,103.07,106.809998,106.809998,4426400
3/9/2020,99.870003,103,98.110001,100.029999,100.029999,5444700
3/10/2020,102.75,107.089996,99.099998,107.029999,107.029999,8579600
3/11/2020,103.800003,108.040001,101.879997,102.419998,102.419998,8777800
3/12/2020,95.199997,101.110001,93.580002,94.919998,94.919998,13496000
3/13/2020,100.160004,103.650002,95.360001,103.419998,103.419998,8218100
3/16/2020,93.690002,94.809998,84.760002,86.18,86.18,11294700
3/17/2020,88.449997,91.169998,83.910004,90.889999,90.889999,8093500
3/18/2020,84.669998,86.919998,75.910004,80.949997,80.949997,9787900
3/19/2020,80.5,85.989998,73.5,84.459999,84.459999,9574600
3/20/2020,87.110001,89.589996,81.139999,81.769997,81.769997,9676600
3/23/2020,81.419998,81.730003,74.849998,77,77,9240500
3/24/2020,81.620003,87.379997,80.739998,86.650002,86.650002,6874900
3/25/2020,86.599998,94.589996,85.089996,91.199997,91.199997,5645400
3/26/2020,92.230003,98.349998,90.5,97.690002,97.690002,5698400
3/27/2020,94.540001,96.790001,92.019997,93.949997,93.949997,7067600
3/30/2020,93.949997,98.739998,93.739998,98.330002,98.330002,4787700
3/31/2020,95.879997,97.989998,94.080002,94.989998,94.989998,8472200
4/1/2020,91,92,87.440002,88.010002,88.010002,4128000
4/2/2020,85.919998,89.410004,85,88.75,88.75,3913700
4/3/2020,88.269997,89.720001,84.370003,86.190002,86.190002,3740000
4/6/2020,91.580002,96.529999,90.129997,95.860001,95.860001,7687700
4/7/2020,99.900002,100.43,94.470001,94.620003,94.620003,3622400
4/8/2020,95.68,98.830002,94.529999,98.370003,98.370003,3847300
4/9/2020,100.099998,101.82,97.910004,99.220001,99.220001,3830500
4/13/2020,97.989998,98.400002,94.610001,96.970001,96.970001,3721400
4/14/2020,98.800003,98.800003,95.360001,96.849998,96.849998,6404900
4/15/2020,94.760002,95.389999,92.830002,93.660004,93.660004,6378200
4/16/2020,95.110001,96.050003,93.019997,95.730003,95.730003,4143500
